Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
PARANÁ BANCO S.A.;14388334;PARANÁ BANCO;30881;80233;b1;2;8;CURITIBA;PR;12/2020;9.179.757;5.730.391;7.968.878;7.551.161;1.210.879;25.796;2;0
DIBENS LEASING S.A. ARRENDAMENTO MERCANTIL;65654303;ITAU;10069;80099;n1;2;19;SAO PAULO;SP;12/2020;9.129.560;0;4.009.084;3.994.543;5.120.475;28.821;2;0
BANCO CETELEM S.A.;558456;BNP PARIBAS;51516;80673;b1;3;8;SAO PAULO;SP;12/2020;8.668.413;7.867.091;7.112.784;5.571.540;1.555.629;-49.185;2;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;;;81328;b4;1;5;BELO HORIZONTE;MG;12/2020;8.558.903;6.047.311;6.621.622;5.717.282;1.937.281;153;2;0
SANTANDER LEASING S.A. ARRENDAMENTO MERCANTIL;47193149;SANTANDER;30379;80185;n1;3;19;SAO PAULO;SP;12/2020;8.544.538;2.096.240;2.711.588;312.469;5.832.949;-20.031;2;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;;;81720;b1;3;8;SAO PAULO;SP;12/2020;8.337.741;2.222.412;6.497.313;5.496.857;1.840.428;21.936;2;0
BANCO TOYOTA DO BRASIL S.A.;3215790;;;81562;b2;3;8;SAO PAULO;SP;12/2020;8.320.711;6.114.464;7.203.967;6.339.735;1.116.745;109.844;2;0
BANCO SOFISA S.A.;60889128;SOFISA;31873;80271;b1;2;8;SAO PAULO;SP;12/2020;8.306.593;5.255.154;7.451.941;7.018.955;854.652;75.130;18;0
MERCADOPAGO.COM REPRESENTACOES LTDA.;10573521;;;84820;n4;2;41;OSASCO;SP;12/2020;8.242.668;0;7.976.815;3.568.314;265.853;-112.976;1;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;;;;b3S;2;9;BEBEDOURO;SP;12/2020;8.121.972;4.199.978;6.348.642;5.338.055;1.773.330;103.802;0;116
BANCO MIZUHO DO BRASIL S.A.;61088183;MIZUHO;51554;80697;b1;3;8;SAO PAULO;SP;12/2020;8.002.361;1.755.539;7.234.449;4.798.722;767.912;18.998;2;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;;;;b3S;2;9;BLUMENAU;SC;12/2020;7.942.321;4.817.408;6.186.259;5.806.700;1.756.062;136.147;0;101
BANCO C6 S.A.;31872495;C6 BANK;52072;84844;b1;2;8;SAO PAULO;SP;12/2020;7.846.041;1.320.996;7.123.163;5.702.241;722.877;-371.812;2;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;;;;b3C;2;9;PORTO ALEGRE;RS;12/2020;7.734.743;0;7.318.181;0;416.563;0;0;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;;;81421;b2;3;8;PORTO ALEGRE;RS;12/2020;7.547.139;6.998.542;6.426.483;5.813.460;1.120.656;80.159;3;0
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;;;;b3C;2;9;BELO HORIZONTE;MG;12/2020;7.525.406;348.503;7.233.763;401;291.643;2.661;0;1
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;;;;b3C;2;9;RIBEIRAO PRETO;SP;12/2020;7.239.006;3.771;6.976.020;493.643;262.985;12.203;0;1
BANCO CREDIT SUISSE (BRASIL) S.A.;32062580;CREDIT SUISSE;30771;80219;b1;3;8;SAO PAULO;SP;12/2020;7.223.523;4.682.683;7.018.568;6.991.596;204.955;32.849;2;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;;;83553;n1;2;14;SAO PAULO;SP;12/2020;6.979.937;4.046.139;5.962.928;3.419.743;1.017.010;24.527;2;0
BB-LEASING S/A ARRENDAMENTO MERCANTIL;31546476;BB;49906;80329;n1;1;19;BRASILIA;DF;12/2020;6.946.285;155.090;2.169.134;1.999.128;4.777.151;21.376;2;0
HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;34111187;HAITONG;51482;80666;b2;3;13;SAO PAULO;SP;12/2020;6.894.616;564.758;6.365.393;5.695.994;529.224;13.961;2;0
BANCO DO ESTADO DE SERGIPE S.A.;13009717;;;81634;b1;1;8;ARACAJU;SE;12/2020;6.827.916;2.798.267;6.340.108;5.839.663;487.808;28.808;64;9
CITIBANK N.A.;33042953;CITIBANK;30403;80192;b1;3;28;SAO PAULO;SP;12/2020;6.756.684;29.947;3.685.529;1.169.413;3.071.154;144.788;2;0
BANCO BS2 S.A.;71027866;GRUPO BONSUCESSO - BS2;52034;80422;b1;2;8;BELO HORIZONTE;MG;12/2020;6.736.616;650.067;6.216.915;5.769.433;519.700;14.013;3;0
FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;6881898;ITAU;10069;80099;n1;2;14;SAO PAULO;SP;12/2020;6.626.301;6.889.595;5.413.271;1.260.358;1.213.030;102.118;2;0
ITAU CORRETORA DE VALORES S.A.;61194353;ITAU;10069;80099;n2;2;15;SAO PAULO;SP;12/2020;6.245.814;0;4.372.219;0;1.873.595;251.035;2;0
BANCO VOLVO BRASIL S.A.;58017179;;;80769;b2;3;8;CURITIBA;PR;12/2020;6.156.048;5.877.002;4.933.397;4.784.771;1.222.651;63.276;2;0
BANCO MÁXIMA S.A.;33923798;MÁXIMA;50201;80367;b1;2;2;RIO DE JANEIRO;RJ;12/2020;6.071.519;3.338.186;5.649.795;5.143.879;421.724;48.638;3;2
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;CREFISA;52010;83632;n1;2;14;SAO PAULO;SP;12/2020;6.018.908;1.619.691;360.238;20.707;5.658.670;102.228;2;0
FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;17167412;ALFA;51293;80570;n1;2;14;SAO PAULO;SP;12/2020;5.753.873;3.933.288;4.771.987;4.189.264;981.886;22.553;21;0
BRADESCO S.A. CORRETORA DE TITULOS E VALORES MOBILIARIOS;61855045;BRADESCO;10045;80075;n2;2;15;OSASCO;SP;12/2020;5.582.862;27;3.551.396;0;2.031.465;41.697;3;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;;;;b3S;2;9;SERTAOZINHO;SP;12/2020;5.441.928;3.450.290;4.636.024;3.473.756;805.904;49.519;0;33
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;;;;b3S;2;9;MARINGA;PR;12/2020;5.405.149;2.976.086;4.839.777;3.302.981;565.372;65.668;0;110
BANCOSEGURO S.A.;10264663;;;84813;b1;2;8;SAO PAULO;SP;12/2020;5.403.145;23.465;4.963.825;4.822.574;439.320;-1.019;2;0
COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;;;;b3C;2;9;FRANCISCO BELTRAO;PR;12/2020;5.210.361;77.347;5.007.877;3.703.813;202.484;-5.785;0;0
BANCO HONDA S.A.;3634220;HONDA;51396;80611;b2;3;8;SAO PAULO;SP;12/2020;5.035.743;3.926.471;3.877.010;3.598.117;1.158.733;111.698;2;0
COOPERATIVA CENTRAL DE CRÉDITO - AILOS;5463212;;;;b3C;2;9;BLUMENAU;SC;12/2020;4.997.622;292.593;4.570.220;214.292;427.401;0;0;0
BANCO INDUSTRIAL DO BRASIL S.A.;31895683;INDUSTRIAL DO BRASIL;50988;80477;b1;2;8;SAO PAULO;SP;12/2020;4.970.562;3.930.105;4.377.724;4.179.952;592.838;35.125;9;0
BANCO FIDIS S/A;62237425;;;81751;b2;3;8;BETIM;MG;12/2020;4.945.199;4.259.932;4.037.788;3.864.748;907.411;78.491;3;0
CENTRAL SICOOB UNI DE COOPERATIVAS DE CRÉDITO;4243780;;;;b3C;2;9;GOIANIA;GO;12/2020;4.841.559;71.400;4.675.720;0;165.839;1.667;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;;;;b3S;2;9;MEDIANEIRA;PR;12/2020;4.667.461;3.083.262;4.155.889;3.039.662;511.572;38.047;0;71
SCANIA BANCO S.A.;11417016;;;80776;b2;3;8;SAO BERNARDO DO CAMPO;SP;12/2020;4.629.820;4.582.844;4.125.933;3.962.194;503.887;39.607;2;0
CITIBANK DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A;33868597;CITIBANK;30403;80192;n2;3;16;SAO PAULO;SP;12/2020;4.619.216;0;4.440.234;0;178.983;5.097;2;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;;;;b3S;2;9;LUCAS DO RIO VERDE;MT;12/2020;4.591.053;3.177.398;3.794.753;2.155.916;796.300;76.323;0;32
